|Country|Channel Name|Category|Main Video Category|username|followers|Main topic|More topics|Likes|Boost Index|Engagement Rate|Engagement Rate 60days|Views|Views Avg.|Avg. 1 Day|Avg. 3 Day|Avg. 7 Day|Avg. 14 Day|Avg. 30 day|Avg. 60 day|Comments Avg|Youtube Link
625|US|TaylorSwiftVEVO|Music|Music|TaylorSwiftVEVO|25900000|Music|Music,Independent music,Pop music,Country,Christian music|91978482.69306932|83|0.7365051506173783|0.1202772205869235|23100088153|9994058.0|652935.0|652935.0|652935.0|652935.0|652935.0|2710300.6666666665|20032.138613861385|UCANLZYMidaCbLQFWXBC95Jg
623|US|WORLDSTARHIPHOP|Music|Music|WORLDSTARHIPHOP|25900000|Music|Music,Hip hop music|76997320.63834673|73|0.0273364577469055|0.0043754749522361|19330656067|419659.851010101|27424.0|23594.5|37450.11111111111|42906.625|76166.96428571429|99613.56666666668|1250.1048603138156|UC-yXuc1__OzjwpsJPlxYUCQ
622|US|Genevieve's Playhouse - Learning Videos for Kids|Gaming & Apps|Film & Animation|Genevieve's Playhouse - Learning Videos for Kids|26000000|Lifestyle|Hobby,Lifestyle,Entertainment|27886047.56756757|60|0.9011255149218698|0.0255147156098406|18050272220|31740756.0|||47890.0|194846.5|194846.5|614968.6666666666|0.6621621621621622|UCK5Q72Uyo73uRPk8PmM2A3w
621|US|DanTDM|Gaming & Apps|Gaming|DanTDM|26100000|Role-playing video game|Role-playing video game,Gaming,Action game,Action-adventure game|327301869.1664026|79|0.1309453511120826|0.0489835843401972|18742286029|3750864.875|109508.0|109508.0|643622.5|643622.5|1064335.1666666667|1173282.857142857|13967.437400950872|UCS5Oz6CHmeoF7vSad0qqXfw
117|US|LooLoo Kids - Nursery Rhymes and Children's Songs|Music|Music|LooLoo Kids - Nursery Rhymes and Children's Songs|49400000|Entertainment|Music,Movies,Entertainment|25323367.15286624|66|0.2328456655820742|0.0197116458908171|28700714072|18526700.5||62846.0|206363.5|176466.625|371785.1363636364|927003.6|29.627388535031848|UC4NALVCmcmL5ntpV0thoH6w
615|US|Wiz Khalifa|Gaming & Apps|Music|Wiz Khalifa|26300000|Hip hop music|Music,Hip hop music|31480236.72619048|77|0.0817683141948382|0.0071133957197382|12431651158|2354512.25||||336259.0|336259.0|129990.95|1915.940476190476|UCVp3nfGRxmMadNDuVbJSk8A
120|US|JuegaGerman|Gaming & Apps|Gaming|JuegaGerman|45900000|Gaming|Gaming,Action game,Action-adventure game,Entertainment|641782272.754717|82|0.0953030218191668|0.0653533534168384|13594315965|5479511.75|||3191661.6666666665|2530465.1428571427|2008041.5714285716|2644449.714285714|25812.18867924528|UCYiGq8XF7YQD00x7wAd62Zg
149|US|xxxtentacion||Music|xxxtentacion|37400000|Hip hop music|Music,Hip hop music,Pop music,Electronic music|33550305.397590365|65|0.1648996322364008|0.0383111462964156|9632080442|6642087.75|||||480777.8888888889|1147972.6666666667|18591.939759036144|UCM9r1xn6s30OnlJWb-jc3Sw
559|US|SSSniperWolf|Gaming & Apps|Gaming|SSSniperWolf|32100000|Technology|Lifestyle,Technology|457491408.882764|72|0.1655310139606431|0.1427468429870511|19920579023|7140997.944444445||1979735.5|2885226.333333333|3409633.6923076925|3898121.357142857|4420192.827586207|12620.267857142857|UCpB959t8iPrxQWj7G6n0ctQ
558|US|Mikecrack|Gaming & Apps|Gaming|Mikecrack|32200000|Action-adventure game|Entertainment,Gaming,Action game,Role-playing video game,Music,Action-adventure game|519363095.7786408|59|0.2627635569559187|0.1327742619550141|13382965827|10452367.625|473548.0|1763420.6666666667|2888305.1666666665|3914228.3333333335|3513790.590909091|3950218.0|19245.687378640778|UCqJ5zFEED1hWs0KNQCQuYdQ
177|US|Pinkfong Baby Shark - Kids' Songs & Stories|Music|Education|Pinkfong Baby Shark - Kids' Songs & Stories|58700000|Music|Entertainment,Music,Movies|17219955.003514938|67|0.0347361655253584|0.0160457960718309|31514954950|1353212.7272727273|8062.0|91807.25|152501.88888888888|188689.0625|903627.5|934502.1898734176|5.00439367311072|UCcdwLMPsaU2ezNSJU1nFoBQ
509|US|Like Nastya Show||Entertainment|Like Nastya Show|41300000|Lifestyle|Music,Lifestyle,Hobby|39269151.59533074|80|0.3795535108958838|0.0080667858320535|18673777146|15267910.666666666||17459.0|233881.0|144042.0|164313.6923076923|266031.5|0.0|UCS94J1s6-qc8v7btCdS2pNg
505|US|Katy Perry|Gaming & Apps|Music|Katy Perry|43000000|Music|Music,Pop music|5322828.25862069|57|0.0328029647153167|0.0036615314755412|23815643998|1049132.0||||||109411.25|2540.344827586207|UCYvmuw-JtVrTZQ-7Y4kd63Q
178|US|Dude Perfect|Gaming & Apps|Sports|Dude Perfect|57800000|Lifestyle|Lifestyle|244293352.89626557|82|0.9034190270499216|0.4385109202142169|14560770809|62768767.25|||7017878.0|7017878.0|33821451.666666664|24476021.4|36144.07883817428|UCRijo3ddMTht_IHyNSNXpNQ
179|US|Movieclips|Gaming & Apps|Film & Animation|Movieclips|57300000|Movies|Entertainment,Movies|39953044.14992679|72|0.0026005667886373|0.002025743307597|58434633172|81556.0713562753|2206.2|2206.2|8792.666666666666|35615.544117647056|86779.78205128205|114986.92063492064|65.46459463421786|UC3gNmTGu-TTbFPpfSs5kNkg
